frame_number,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
45,[742.6818542480469],[109.81591415405273],[1766.5949096679688],[623.0577087402344],[986.1552429199219],[118.67787170410156],[702.0806274414062],[205.43761444091797],[2042.2119140625],[243.32325744628906],[35.336485259234905],[379.3853759765625],[1971.9703979492188],[136.34940338134766],[2013.5252075195312],[526.9973449707031],,,,,,,,,,
46,[739.5052185058594],[109.10193634033203],[1762.2234497070312],[655.2627258300781],[965.6001281738281],[102.73291778564453],[2138.678955078125],[770.4020385742188],[705.7164916992188],[207.39728546142578],[36.36971651762724],[381.05584716796875],[1891.4299926757812],[190.7376937866211],[1988.3027954101562],[475.7501525878906],[1824.2640991210938],[105.00696182250977],,,,,,,,
47,[1776.2445068359375],[641.3026123046875],[2137.9512939453125],[770.9660339355469],[697.5728454589844],[210.67330169677734],[34.93990444391966],[381.0811004638672],[938.5835266113281],[89.31415939331055],[1962.503173828125],[198.43585968017578],[2026.8233032226562],[545.3670196533203],[1912.0055541992188],[102.68042373657227],,,,,,,,,,
48,[736.0372314453125],[110.04157638549805],[2037.662353515625],[638.3920288085938],[1774.4852294921875],[692.2168579101562],[969.8827514648438],[109.181640625],[2136.16943359375],[766.5017395019531],[703.9108581542969],[210.62232971191406],[32.029234141111374],[380.3043670654297],[1998.2534790039062],[154.23681259155273],[2102.2577514648438],[329.9103698730469],[1897.6038208007812],[182.5416030883789],,,,,,
49,[776.4225463867188],[118.280517578125],[1760.1860961914062],[738.2240600585938],[1015.311767578125],[127.29179000854492],[2133.31787109375],[766.7216186523438],[730.702392578125],[215.8148956298828],[1879.487060546875],[284.9348831176758],[2054.646728515625],[395.58929443359375],[33.78439608216286],[382.0324401855469],[1610.9329223632812],[1273.4798583984375],[1980.1375732421875],[731.8932800292969],[1984.9417724609375],[349.42051696777344],,,,
50,[773.4154968261719],[115.4295883178711],[1760.0315551757812],[734.2352600097656],[1018.3686218261719],[125.64020156860352],[2132.067626953125],[763.8921508789062],[735.2601318359375],[216.79084014892578],[1885.0043334960938],[297.76075744628906],[1765.0874633789062],[295.59741973876953],[36.09669318050146],[382.5302429199219],[1910.2830200195312],[159.9956283569336],[1980.71435546875],[703.9421691894531],[1959.3935546875],[325.4562072753906],,,,
51,[1738.3096923828125],[142.77681732177734],[770.4013977050781],[116.9858283996582],[1736.90771484375],[697.1808471679688],[983.4671325683594],[108.3021011352539],[2135.67333984375],[769.6625061035156],[729.340576171875],[214.4651870727539],[1874.0457763671875],[207.0261688232422],[35.678192630410194],[382.0560607910156],[1953.1553955078125],[631.2348022460938],[1943.2355346679688],[277.72728729248047],,,,,,
52,[764.3822631835938],[118.62347030639648],[1736.0977783203125],[723.7946472167969],[2135.5194091796875],[767.2892456054688],[724.2926940917969],[217.8805694580078],[1840.1309204101562],[287.1269226074219],[1714.3798217773438],[290.3882598876953],[31.629656717181206],[383.28497314453125],[1949.0270385742188],[694.3616333007812],[981.5910949707031],[115.40665817260742],[1926.2659912109375],[340.41278076171875],,,,,,
53,[1887.6417236328125],[175.86388397216797],[766.6938781738281],[112.94772338867188],[1980.742919921875],[722.6704711914062],[1758.058349609375],[742.2947082519531],[1009.0021667480469],[122.63087463378906],[2135.146728515625],[766.5445861816406],[720.7020568847656],[208.11087036132812],[1787.8226928710938],[358.1450958251953],[31.230533361434937],[383.67958068847656],[1924.186279296875],[166.94269561767578],[1981.3614501953125],[376.03660583496094],,,,
54,[757.0211791992188],[110.63781356811523],[1936.2489013671875],[770.9859619140625],[1818.1275024414062],[471.71319580078125],[1733.8558959960938],[766.1041259765625],[2133.3106689453125],[771.2554626464844],[719.0196533203125],[208.40789794921875],[31.77655866742134],[383.99530029296875],[1828.4873046875],[436.8160400390625],[1635.7614135742188],[495.96246337890625],[1908.8858032226562],[164.10083770751953],[977.5828552246094],[109.56582260131836],,,,
55,[771.3199157714844],[108.37555694580078],[1897.80322265625],[168.80034637451172],[1708.3416137695312],[738.3740539550781],[1019.4594116210938],[119.33494186401367],[2134.019775390625],[767.0445251464844],[732.7040710449219],[212.2058563232422],[1575.52880859375],[429.67506408691406],[32.32666406035423],[384.00831604003906],[1798.3302612304688],[393.86647033691406],[1611.88427734375],[1272.689453125],[1900.0599365234375],[735.6405334472656],,,,
56,[784.5415344238281],[114.24235534667969],[1900.8232421875],[174.7115936279297],[1711.0180053710938],[732.0680236816406],[1029.9873657226562],[128.43165588378906],[2135.5570068359375],[767.6333618164062],[745.2708740234375],[221.39271545410156],[1594.7318725585938],[385.16600036621094],[34.32721624523401],[383.9426574707031],[990.0733032226562],[109.13142013549805],[1819.0271606445312],[358.9451599121094],[1612.7799072265625],[1272.1995239257812],[1908.2786865234375],[723.1269226074219],,
57,[1964.0926513671875],[781.9172668457031],[1746.5113525390625],[767.8990783691406],[2133.8299560546875],[773.4668273925781],[763.9415588378906],[219.30093383789062],[1698.1284790039062],[482.1539306640625],[35.41441295295954],[383.7877197265625],[1013.8877258300781],[111.96790313720703],[1902.742431640625],[442.3674011230469],[1903.3724975585938],[179.77812957763672],,,,,,,,
58,[1968.1878662109375],[797.3457641601562],[1755.89794921875],[777.1832885742188],[2133.9791259765625],[774.9661560058594],[1935.2435302734375],[182.28775787353516],[929.2139282226562],[88.94827079772949],[1709.40673828125],[538.8978881835938],[1956.7416381835938],[533.251708984375],,,,,,,,,,,,
59,[770.452392578125],[105.5226821899414],[1895.9376831054688],[768.9149475097656],[1705.6426391601562],[757.7032775878906],[1015.9800415039062],[113.8672866821289],[2136.3148193359375],[771.6651306152344],[724.2055969238281],[203.69210815429688],[37.820345148444176],[384.2540283203125],[1766.672607421875],[446.9447021484375],[1556.243408203125],[500.67039489746094],[1612.8487548828125],[1271.2175903320312],,,,,,
60,[744.407958984375],[106.4043083190918],[1948.51708984375],[779.0467529296875],[1736.7191162109375],[765.3500671386719],[2136.8709716796875],[771.7494506835938],[709.6089782714844],[210.18685150146484],[1648.1539306640625],[495.97572326660156],[1871.2725219726562],[512.7291717529297],[1866.9176635742188],[445.25062561035156],[965.9921569824219],[102.99613952636719],[1903.0921630859375],[178.96200561523438],,,,,,
61,[744.3002319335938],[98.72512435913086],[1949.1922607421875],[782.9549865722656],[1737.4678955078125],[768.6454162597656],[2135.4136962890625],[767.57080078125],[704.8243408203125],[203.9987335205078],[1859.6076049804688],[441.94537353515625],[1918.2198486328125],[176.32202911376953],[976.4583740234375],[96.82407760620117],[1642.1793212890625],[517.8186187744141],[1899.5082397460938],[180.612060546875],,,,,,
62,[761.6625366210938],[114.05488967895508],[1894.739501953125],[172.38636779785156],[1914.9474487304688],[768.7685546875],[1717.2246704101562],[757.2843017578125],[2132.971923828125],[767.0396118164062],[721.2448120117188],[210.01287841796875],[33.10379245877266],[385.6151885986328],[1804.614013671875],[436.2875671386719],[1582.385009765625],[496.7791748046875],[981.7898254394531],[113.29596328735352],,,,,,
63,[742.0134582519531],[105.87295150756836],[1930.3179931640625],[770.5180969238281],[1723.5505981445312],[759.6174926757812],[996.4133605957031],[114.58420944213867],[2132.373291015625],[766.9068298339844],[705.6275024414062],[208.16400146484375],[1927.1835327148438],[180.401611328125],[1623.4431762695312],[494.2879180908203],[32.123542964458466],[385.2519836425781],[1859.7761840820312],[510.5046844482422],[948.4857788085938],[89.61155891418457],[1840.2160034179688],[444.7161102294922],,
64,[1968.0155639648438],[788.2729187011719],[1744.8938598632812],[767.9124450683594],[996.8234558105469],[114.04167938232422],[2132.855224609375],[771.2518310546875],[709.3422241210938],[204.65042877197266],[1687.73583984375],[502.2460021972656],[954.5071105957031],[86.52664756774902],[1886.4046630859375],[458.0848846435547],[1902.6392822265625],[177.40724182128906],,,,,,,,
65,[990.6002197265625],[111.86333847045898],[751.5696716308594],[106.16474914550781],[1949.728271484375],[789.7718505859375],[1732.5797119140625],[769.9050903320312],[2133.8526611328125],[770.81689453125],[709.7062072753906],[205.03575134277344],[1924.8599243164062],[182.0851593017578],[33.466743767261505],[384.37803649902344],[1848.6697387695312],[462.9314880371094],[963.7160949707031],[97.48894882202148],[1650.712158203125],[532.3440399169922],[1906.2893676757812],[528.5865783691406],[1896.5947265625],[174.59689331054688]
66,[761.5133361816406],[114.25601196289062],[1941.011474609375],[795.0937805175781],[1734.9979248046875],[776.1124877929688],[2132.051025390625],[769.6168212890625],[721.7708740234375],[213.17059326171875],[1932.0842895507812],[181.3109359741211],[32.04354402422905],[386.41310119628906],[1871.4783325195312],[551.8293762207031],[1841.1056518554688],[481.05836486816406],[979.8509521484375],[110.65731811523438],[1642.3896484375],[559.1851959228516],,,,
67,[761.5340576171875],[119.95992660522461],[1948.5286865234375],[793.6743774414062],[1741.0498046875],[775.7300720214844],[2133.0068359375],[765.5163879394531],[720.3827819824219],[218.69969177246094],[1665.778076171875],[536.8183288574219],[1855.901123046875],[481.7987365722656],[978.5753479003906],[113.72521209716797],,,,,,,,,,
68,[750.1895751953125],[113.18335342407227],[1982.0661010742188],[799.4660034179688],[1759.1995849609375],[777.4344177246094],[994.4383544921875],[117.49786376953125],[709.9133605957031],[208.27629852294922],[1900.7682495117188],[519.5207672119141],[1731.7105712890625],[548.658935546875],[1975.94580078125],[543.0662231445312],,,,,,,,,,
69,[734.5899047851562],[109.07757568359375],[1938.9275512695312],[781.03173828125],[1730.4158325195312],[765.3753356933594],[700.1791076660156],[209.77244567871094],[1649.13720703125],[510.2827453613281],[935.3049926757812],[94.55343437194824],[1861.6446533203125],[463.97052001953125],,,,,,,,,,,,
70,[749.4626770019531],[112.4188117980957],[1929.9149169921875],[779.3403625488281],[1851.0441284179688],[529.6369018554688],[1724.453857421875],[764.6245422363281],[2124.2042236328125],[760.5982055664062],[704.3857727050781],[207.59117126464844],[944.5501403808594],[96.5927963256836],[1819.5989990234375],[450.7196502685547],[1623.3464965820312],[517.3131103515625],,,,,,,,
71,[748.2130432128906],[116.4699935913086],[1961.8536987304688],[801.2082824707031],[1747.3291625976562],[777.2218933105469],[2123.0904541015625],[761.55712890625],[708.1761169433594],[214.13821411132812],[1685.4923706054688],[542.4745635986328],[950.6490783691406],[102.97329330444336],[1878.0587768554688],[496.50086975097656],[1882.5288696289062],[168.72756958007812],,,,,,,,
72,[985.5914611816406],[120.70249938964844],[749.0558776855469],[118.4147834777832],[1948.627685546875],[787.7264099121094],[1733.0982666015625],[770.2442932128906],[2120.0650634765625],[760.3547668457031],[707.58837890625],[212.12866973876953],[33.67437646538019],[394.18455505371094],[1861.03271484375],[517.9073638916016],[1861.5611572265625],[468.29908752441406],[1904.2537231445312],[542.7370147705078],[1672.7359619140625],[533.9332427978516],,,,
73,[1941.974853515625],[783.9486389160156],[1728.42138671875],[765.1426696777344],[2117.8626708984375],[760.7164611816406],[701.1119689941406],[211.6050033569336],[1649.8453979492188],[518.3641510009766],[34.04297283291817],[395.4284362792969],[939.0900573730469],[97.05707168579102],[1902.5989990234375],[521.2386016845703],[1882.03857421875],[173.12979888916016],,,,,,,,
74,[740.9483642578125],[108.99794006347656],[1952.6503295898438],[793.1947021484375],[1739.3944091796875],[771.8059997558594],[701.4505310058594],[212.17987823486328],[1860.8609008789062],[460.6239776611328],[1677.4547729492188],[524.6593475341797],[1926.78271484375],[171.60596466064453],[964.1022033691406],[111.38826370239258],[1926.2057495117188],[532.5684051513672],,,,,,,,
75,[747.0841369628906],[117.35665512084961],[1950.340087890625],[793.0296325683594],[1734.3276977539062],[774.4698181152344],[2121.81787109375],[761.0439758300781],[706.4117126464844],[212.99539947509766],[1844.846435546875],[504.3236999511719],[29.26634657382965],[394.0102233886719],[952.0042114257812],[103.85741424560547],[1864.0104370117188],[472.6844482421875],[1673.4005126953125],[537.7957916259766],[1880.9443969726562],[170.54629516601562],,,,
76,[990.146728515625],[120.26585388183594],[749.1434936523438],[116.7154312133789],[1943.907958984375],[788.3472900390625],[1730.077880859375],[768.1351318359375],[2122.751708984375],[759.9271850585938],[709.9118041992188],[212.31005096435547],[1928.56298828125],[176.75323486328125],[34.96281785517931],[393.1800842285156],[951.4354553222656],[103.60602569580078],[1855.1617431640625],[476.6039276123047],[1653.6896362304688],[541.3041229248047],,,,
77,[743.7681884765625],[108.9498519897461],[1955.2042236328125],[792.9521484375],[1738.7890625],[770.3940734863281],[989.0216369628906],[117.92333221435547],[703.7745971679688],[209.3459243774414],[1857.693359375],[464.1541290283203],[1929.696533203125],[177.4229278564453],[33.221859499812126],[391.48057556152344],[1676.4287719726562],[531.4110107421875],[1929.7556762695312],[533.208251953125],,,,,,
78,[745.7786560058594],[106.09875869750977],[1954.3896484375],[792.3928833007812],[1734.541015625],[773.0842895507812],[706.0976867675781],[209.07159423828125],[1931.0255126953125],[178.59375762939453],[1667.1461181640625],[533.8899230957031],[34.16439155489206],[390.7109375],[1857.9625244140625],[469.4103546142578],[1609.2688598632812],[1266.70751953125],[965.1072692871094],[107.43289947509766],[1910.3569946289062],[532.8239440917969],,,,
79,[752.7354125976562],[116.85134887695312],[1951.7488403320312],[794.3371887207031],[1738.6806030273438],[772.513427734375],[996.8287658691406],[118.98765182495117],[713.806640625],[211.15569305419922],[1930.9022216796875],[177.45895385742188],[35.451479233801365],[390.49888610839844],[1858.0384521484375],[474.5385437011719],[1675.2267456054688],[545.21435546875],,,,,,,,
80,[750.3060913085938],[114.24885559082031],[1951.760498046875],[793.4641418457031],[1735.6790771484375],[772.8460998535156],[709.7685546875],[208.18328094482422],[1847.2525634765625],[491.3126678466797],[1929.873779296875],[177.93424224853516],[951.8556213378906],[101.01710510253906],[1863.3594970703125],[470.7998352050781],[1905.9463500976562],[547.8421325683594],[1676.8976440429688],[535.0732574462891],,,,,,
81,[748.4250793457031],[110.95848083496094],[1958.5833129882812],[795.8948669433594],[1740.8887329101562],[771.7549743652344],[989.9588623046875],[118.19059753417969],[707.5012512207031],[207.8437042236328],[1852.39794921875],[463.9936218261719],[41.591698586940765],[392.5315704345703],[1917.7521362304688],[162.72857666015625],[1676.2280883789062],[537.4437255859375],[1931.5519409179688],[533.6359252929688],,,,,,
82,[749.0468139648438],[115.9410629272461],[1953.5985107421875],[792.4109191894531],[1735.94287109375],[773.1294860839844],[992.4620666503906],[119.43893814086914],[707.6662902832031],[209.5166015625],[1928.6787109375],[178.11780548095703],[33.76344972848892],[391.3732147216797],[1842.509033203125],[502.1616973876953],[952.1951293945312],[102.97034072875977],[1608.8536376953125],[1266.857421875],[1666.735107421875],[541.8152618408203],[1908.9904174804688],[534.0140991210938],,
83,[987.6486206054688],[118.14496612548828],[750.8769836425781],[116.39225006103516],[1947.4393310546875],[791.7796936035156],[710.7554626464844],[211.19371795654297],[1928.2944946289062],[177.6473159790039],[30.632843263447285],[392.2877197265625],[1887.6415405273438],[545.2708435058594],[1848.1707763671875],[478.2443542480469],[1657.7869262695312],[541.2804565429688],,,,,,,,
84,[1953.7059936523438],[794.4328918457031],[1736.2810668945312],[773.3100280761719],[2119.8712158203125],[759.5500183105469],[705.5802917480469],[211.82882690429688],[1845.8311767578125],[494.1716766357422],[37.64882805943489],[392.88372802734375],[950.7898864746094],[102.17880249023438],[1867.0836791992188],[471.40431213378906],[1676.9717407226562],[538.4551391601562],[1883.089599609375],[176.33174896240234],,,,,,
85,[741.254638671875],[111.81902313232422],[1955.1038208007812],[793.1267395019531],[1737.031005859375],[772.7958679199219],[2120.4365234375],[760.6411743164062],[704.3317565917969],[211.4740219116211],[1846.0816650390625],[496.37353515625],[1673.0009765625],[524.5639038085938],[37.77629083395004],[393.3696594238281],[1866.8040771484375],[469.9994354248047],[968.1532287597656],[112.94767379760742],[1883.6788330078125],[174.5759048461914],,,,
86,[748.68505859375],[113.55814361572266],[1943.8348999023438],[789.4970397949219],[1731.1604614257812],[769.7317810058594],[990.8923645019531],[118.4931640625],[705.9249267578125],[209.64690399169922],[1928.2242431640625],[177.927734375],[33.649627573788166],[391.97425842285156],[1846.3862915039062],[471.99424743652344],[1644.0725708007812],[538.6498260498047],[1901.371826171875],[532.1307373046875],,,,,,
87,[750.8505249023438],[115.04541397094727],[1952.2000122070312],[796.2008361816406],[1737.0509643554688],[772.9940185546875],[994.1970825195312],[118.56623458862305],[711.697998046875],[209.85558319091797],[1847.92578125],[497.0760955810547],[34.193098321557045],[390.72959899902344],[1868.7476196289062],[472.95713806152344],[1674.2574462890625],[547.6070709228516],[1888.603515625],[171.52838134765625],,,,,,
88,[750.4048156738281],[113.50811767578125],[1953.537109375],[797.5233154296875],[1740.3878784179688],[773.6813659667969],[991.79931640625],[116.84561920166016],[709.3406372070312],[207.24954223632812],[1849.4421997070312],[499.5105743408203],[1868.1707763671875],[472.7555847167969],[1919.2568359375],[167.01293182373047],[1916.0812377929688],[554.9698486328125],[1675.0196533203125],[537.2979583740234],,,,,,
89,[748.3586730957031],[110.89993286132812],[1904.3768310546875],[173.91502380371094],[1955.35107421875],[794.21435546875],[1739.7421875],[773.3075561523438],[992.7950439453125],[116.3309326171875],[706.6004333496094],[207.94581604003906],[51.72872447967529],[392.86573791503906],[1858.8419189453125],[474.5070037841797],[1610.68017578125],[1267.4613647460938],[1670.9830932617188],[543.1648864746094],,,,,,
